sepal length (cm),sepal width (cm),petal length (mm),petal width (mm),species
5.1,3.5,14,2,setosa
4.9,3,14,2,setosa
4.7,3.2,13,2,setosa
4.6,3.1,15,2,setosa
5,3.6,14,2,setosa
5.4,3.9,17,4,setosa
4.6,3.4,14,3,setosa
5,3.4,15,2,setosa
4.4,2.9,14,2,setosa
4.9,3.1,15,1,setosa
5.4,3.7,15,2,setosa
4.8,3.4,16,2,setosa
4.8,3,14,1,setosa
4.3,3,11,1,setosa
5.8,4,12,2,setosa
5.7,4.4,15,4,setosa
5.4,3.9,13,4,setosa
5.1,3.5,14,3,setosa
5.7,3.8,17,3,setosa
5.1,3.8,15,3,setosa
5.4,3.4,17,2,setosa
5.1,3.7,15,4,setosa
4.6,3.6,10,2,setosa
5.1,3.3,17,5,setosa
4.8,3.4,19,2,setosa
5,3,16,2,setosa
5,3.4,16,4,setosa
5.2,3.5,15,2,setosa
5.2,3.4,14,2,setosa
4.7,3.2,16,2,setosa
4.8,3.1,16,2,setosa
5.4,3.4,15,4,setosa
5.2,4.1,15,1,setosa
5.5,4.2,14,2,setosa
4.9,3.1,15,1,setosa
5,3.2,12,2,setosa
5.5,3.5,13,2,setosa
4.9,3.1,15,1,setosa
4.4,3,13,2,setosa
5.1,3.4,15,2,setosa
5,3.5,13,3,setosa
4.5,2.3,13,3,setosa
4.4,3.2,13,2,setosa
5,3.5,16,6,setosa
5.1,3.8,19,4,setosa
4.8,3,14,3,setosa
5.1,3.8,16,2,setosa
4.6,3.2,14,2,setosa
5.3,3.7,15,2,setosa
5,3.3,14,2,setosa
7,3.2,47,14,versicolor
6.4,3.2,45,15,versicolor
6.9,3.1,49,15,versicolor
5.5,2.3,40,13,versicolor
6.5,2.8,46,15,versicolor
5.7,2.8,45,13,versicolor
6.3,3.3,47,16,versicolor
4.9,2.4,33,10,versicolor
6.6,2.9,46,13,versicolor
5.2,2.7,39,14,versicolor
5,2,35,10,versicolor
5.9,3,42,15,versicolor
6,2.2,40,10,versicolor
6.1,2.9,47,14,versicolor
5.6,2.9,36,13,versicolor
6.7,3.1,44,14,versicolor
5.6,3,45,15,versicolor
5.8,2.7,41,10,versicolor
6.2,2.2,45,15,versicolor
5.6,2.5,39,11,versicolor
5.9,3.2,48,18,versicolor
6.1,2.8,40,13,versicolor
6.3,2.5,49,15,versicolor
6.1,2.8,47,12,versicolor
6.4,2.9,43,13,versicolor
6.6,3,44,14,versicolor
6.8,2.8,48,14,versicolor
6.7,3,50,17,versicolor
6,2.9,45,15,versicolor
5.7,2.6,35,10,versicolor
5.5,2.4,38,11,versicolor
5.5,2.4,37,10,versicolor
5.8,2.7,39,12,versicolor
6,2.7,51,16,versicolor
5.4,3,45,15,versicolor
6,3.4,45,16,versicolor
6.7,3.1,47,15,versicolor
6.3,2.3,44,13,versicolor
5.6,3,41,13,versicolor
5.5,2.5,40,13,versicolor
5.5,2.6,44,12,versicolor
6.1,3,46,14,versicolor
5.8,2.6,40,12,versicolor
5,2.3,33,10,versicolor
5.6,2.7,42,13,versicolor
5.7,3,42,12,versicolor
5.7,2.9,42,13,versicolor
6.2,2.9,43,13,versicolor
5.1,2.5,30,11,versicolor
5.7,2.8,41,13,versicolor
6.3,3.3,60,25,virginica
5.8,2.7,51,19,virginica
7.1,3,59,21,virginica
6.3,2.9,56,18,virginica
6.5,3,58,22,virginica
7.6,3,66,21,virginica
4.9,2.5,45,17,virginica
7.3,2.9,63,18,virginica
6.7,2.5,58,18,virginica
7.2,3.6,61,25,virginica
6.5,3.2,51,20,virginica
6.4,2.7,53,19,virginica
6.8,3,55,21,virginica
5.7,2.5,50,20,virginica
5.8,2.8,51,24,virginica
6.4,3.2,53,23,virginica
6.5,3,55,18,virginica
7.7,3.8,67,22,virginica
7.7,2.6,69,23,virginica
6,2.2,50,15,virginica
6.9,3.2,57,23,virginica
5.6,2.8,49,20,virginica
7.7,2.8,67,20,virginica
6.3,2.7,49,18,virginica
6.7,3.3,57,21,virginica
7.2,3.2,60,18,virginica
6.2,2.8,48,18,virginica
6.1,3,49,18,virginica
6.4,2.8,56,21,virginica
7.2,3,58,16,virginica
7.4,2.8,61,19,virginica
7.9,3.8,64,20,virginica
6.4,2.8,56,22,virginica
6.3,2.8,51,15,virginica
6.1,2.6,56,14,virginica
7.7,3,61,23,virginica
6.3,3.4,56,24,virginica
6.4,3.1,55,18,virginica
6,3,48,18,virginica
6.9,3.1,54,21,virginica
6.7,3.1,56,24,virginica
6.9,3.1,51,23,virginica
5.8,2.7,51,19,virginica
6.8,3.2,59,23,virginica
6.7,3.3,57,25,virginica
6.7,3,52,23,virginica
6.3,2.5,50,19,virginica
6.5,3,52,20,virginica
6.2,3.4,54,23,virginica
5.9,3,51,18,virginica
